svm: c = 0.25,nb,svm: c = 0.75,svm: c = 0.50,svm: c = 1.0
0.073891625615763554,0.12496759139227379,0.073373087892144154,0.073373087892144154,0.073373087892144154
0.070521130412237495,0.12107855846512834,0.070002592688618095,0.070002592688618095,0.070002592688618095
0.065854290899662951,0.11433756805807622,0.065854290899662951,0.065854290899662951,0.065595022037853251
0.072854550168524754,0.13015296862846773,0.072854550168524754,0.072854550168524754,0.072854550168524754
0.072336012444905368,0.12963443090484833,0.072076743583095668,0.071817474721285968,0.071298936997666582
0.064298677728804765,0.1166709878143635,0.064817215452424165,0.064557946590614465,0.064298677728804765
0.07441016333938294,0.10889292196007259,0.07441016333938294,0.07466943220119264,0.07441016333938294
0.07415089447757324,0.11874513870884107,0.07441016333938294,0.07441016333938294,0.07415089447757324
0.066891366346901737,0.12004148301788956,0.067150635208711437,0.067150635208711437,0.067150635208711437
0.071817474721285968,0.12107855846512834,0.072076743583095668,0.072076743583095668,0.072076743583095668
