svm: c = 0.50,Naive Classifier Test,svm: c = 0.50 Test,svm: c = 1.0 Test,Naive Bayes (L1 features),svm: c = 1.0,svm: c = 0.25,svm: c = 0.75 Test,svm: c = 0.75,Naive Classifier,svm: c = 0.25 Test,Naive Bayes (L1 features) Test
0.064469078179696618,0.1161895429411353,0.06705396514313712,0.06705396514313712,0.12193698949824971,0.063885647607934651,0.064469078179696618,0.06705396514313712,0.063885647607934651,0.117561260210035,0.06705396514313712,0.11716945474907259
0.071178529754959155,0.1161895429411353,0.067193952544271018,0.067193952544271018,0.12310385064177364,0.071761960326721122,0.071178529754959155,0.067193952544271018,0.071470245040840139,0.12835472578763127,0.067193952544271018,0.11716945474907259
0.061551925320886818,0.1161895429411353,0.066773990340869324,0.066773990340869324,0.1161026837806301,0.062135355892648778,0.062135355892648778,0.066773990340869324,0.061843640606767794,0.11056009334889148,0.066773990340869324,0.11744942955134038
0.072637106184364059,0.1161895429411353,0.066913977742003222,0.066913977742003222,0.12602100350058343,0.072637106184364059,0.072637106184364059,0.066913977742003222,0.072928821470245042,0.11406067677946324,0.066913977742003222,0.11688947994680479
0.067677946324387395,0.1161895429411353,0.066983971442570164,0.066983971442570164,0.11289381563593932,0.067969661610268378,0.067969661610268378,0.066983971442570164,0.068261376896149362,0.1117269544924154,0.066983971442570164,0.11737943585077343
0.070303383897316218,0.1161895429411353,0.067473927346538815,0.067473927346538815,0.1295215869311552,0.070595099183197202,0.070595099183197202,0.067473927346538815,0.070595099183197202,0.12281213535589265,0.067473927346538815,0.11765941065304122
0.068844807467911315,0.1161895429411353,0.066983971442570164,0.066983971442570164,0.1117269544924154,0.068553092182030345,0.067969661610268378,0.066983971442570164,0.068261376896149362,0.10793465577596266,0.066983971442570164,0.11723944844963953
0.072053675612602106,0.1161895429411353,0.067123958843704062,0.067123958843704062,0.117561260210035,0.072345390898483075,0.072053675612602106,0.067123958843704062,0.072053675612602106,0.12602100350058343,0.067123958843704062,0.11681948624623784
0.08518086347724621,0.1161895429411353,0.06705396514313712,0.06705396514313712,0.12981330221703619,0.084305717619603274,0.084597432905484243,0.06705396514313712,0.084597432905484243,0.12718786464410736,0.06705396514313712,0.11506964373206412
0.069719953325554265,0.1161895429411353,0.066634002939735426,0.066634002939735426,0.1161026837806301,0.069428238039673282,0.069428238039673282,0.066634002939735426,0.069428238039673282,0.11581096849474913,0.066634002939735426,0.11695947364737173
