GS svm: c = 0.5,Naive Classifier Test,GS Naive Bayes,GS Naive Bayes Test,GS svm: c = 0.5 Test,Naive Classifier
0.095794392523364483,0.1161895429411353,0.095794392523364483,0.087072163505284531,0.079372856442920137,0.12149532710280374
0.095794392523364483,0.1161895429411353,0.093457943925233641,0.087912087912087919,0.081262686358227754,0.12850467289719625
0.086448598130841117,0.1161895429411353,0.1425233644859813,0.13424791768740812,0.082102610765031142,0.12850467289719625
0.07476635514018691,0.1161895429411353,0.081775700934579434,0.086092251697347244,0.080282774550290467,0.10280373831775701
0.086448598130841117,0.1161895429411353,0.086448598130841117,0.088262056414922657,0.081402673759361652,0.13551401869158877
0.063084112149532703,0.1161895429411353,0.098130841121495324,0.12045915867571919,0.082522572968432836,0.11682242990654206
0.10046728971962617,0.1161895429411353,0.10514018691588785,0.086022257996780288,0.080632743053125219,0.10981308411214953
0.081775700934579434,0.1161895429411353,0.079439252336448593,0.088262056414922657,0.081192692657660812,0.10280373831775701
0.10747663551401869,0.1161895429411353,0.11448598130841121,0.085392314691677754,0.080562749352558263,0.14018691588785046
0.079439252336448593,0.1161895429411353,0.11214953271028037,0.1263386295233429,0.084202421782039613,0.10981308411214953
