svm: c = 0.25,nb,svm: c = 0.75,svm: c = 0.50,svm: c = 1.0
0.077012835472578769,0.10268378063010501,0.072345390898483075,0.072345390898483075,0.072345390898483075
0.07817969661610269,0.14002333722287047,0.08284714119019837,0.08168028004667445,0.08284714119019837
0.07817969661610269,0.12602100350058343,0.075845974329054849,0.07817969661610269,0.075845974329054849
0.064177362893815634,0.12135355892648775,0.063010501750291714,0.063010501750291714,0.063010501750291714
0.067677946324387395,0.12835472578763127,0.064177362893815634,0.065344224037339554,0.064177362893815634
0.063010501750291714,0.12602100350058343,0.064177362893815634,0.064177362893815634,0.064177362893815634
0.08051341890315053,0.12252042007001167,0.08051341890315053,0.08051341890315053,0.08051341890315053
0.067677946324387395,0.12835472578763127,0.068844807467911315,0.068844807467911315,0.068844807467911315
0.073512252042006995,0.12718786464410736,0.074679113185530915,0.073512252042006995,0.074679113185530915
0.071178529754959155,0.12252042007001167,0.070011668611435235,0.071178529754959155,0.070011668611435235
