svm: c = 0.25,nb,svm: c = 0.75,svm: c = 0.50,svm: c = 1.0
0.071595330739299606,0.11206225680933853,0.071595330739299606,0.071595330739299606,0.070817120622568092
0.08171206225680934,0.13540856031128404,0.08171206225680934,0.08015564202334631,0.082490272373540854
0.067704280155642019,0.12918287937743192,0.067704280155642019,0.067704280155642019,0.067704280155642019
0.063035019455252916,0.11906614785992217,0.062256809338521402,0.06147859922178988,0.062256809338521402
0.069260700389105062,0.11906614785992217,0.070817120622568092,0.070038910505836577,0.070817120622568092
0.079377431906614782,0.13073929961089495,0.080933852140077825,0.08015564202334631,0.080933852140077825
0.068482490272373547,0.1198443579766537,0.068482490272373547,0.068482490272373547,0.067704280155642019
0.056809338521400778,0.10272373540856031,0.057587548638132292,0.056809338521400778,0.056809338521400778
0.08171206225680934,0.1198443579766537,0.08171206225680934,0.08171206225680934,0.080933852140077825
0.065369649805447474,0.11595330739299611,0.065369649805447474,0.065369649805447474,0.065369649805447474
