svm: c = 0.25,nb,svm: c = 0.75,svm: c = 0.50,svm: c = 1.0
0.074999999999999997,0.124,0.074666666666666673,0.074666666666666673,0.074666666666666673
0.070333333333333331,0.12366666666666666,0.070333333333333331,0.070000000000000007,0.070000000000000007
0.070000000000000007,0.12333333333333334,0.06933333333333333,0.069666666666666668,0.06933333333333333
0.065333333333333327,0.11266666666666666,0.065666666666666665,0.066000000000000003,0.065666666666666665
0.07166666666666667,0.12566666666666668,0.07166666666666667,0.071333333333333332,0.071333333333333332
0.074333333333333335,0.13700000000000001,0.073999999999999996,0.073666666666666672,0.074333333333333335
0.066666666666666666,0.124,0.065666666666666665,0.065333333333333327,0.065333333333333327
0.07166666666666667,0.113,0.071333333333333332,0.070999999999999994,0.071333333333333332
0.071999999999999995,0.10833333333333334,0.072333333333333333,0.071999999999999995,0.071999999999999995
0.072999999999999995,0.12333333333333334,0.072666666666666671,0.072666666666666671,0.072333333333333333
