GS svm: c = 0.5,Naive Classifier Test,GS Naive Bayes,GS Naive Bayes Test,GS svm: c = 0.5 Test,Naive Classifier
0.081232492997198882,0.1161895429411353,0.087768440709617174,0.085252327290543856,0.077413032827045564,0.12324929971988796
0.078431372549019607,0.1161895429411353,0.08683473389355742,0.084902358787709103,0.079022887940085398,0.11624649859943978
0.087768440709617174,0.1161895429411353,0.089169000933706818,0.084902358787709103,0.07769300762931336,0.12138188608776844
0.073295985060690946,0.1161895429411353,0.08683473389355742,0.090921817036466721,0.0747532722055015,0.11251167133520075
0.083566760037348267,0.1161895429411353,0.084033613445378158,0.079302862742353195,0.08133268005879471,0.12371615312791784
0.078898225957049484,0.1161895429411353,0.091503267973856203,0.08567228949394555,0.079162875341219296,0.11624649859943978
0.080298786181139128,0.1161895429411353,0.085901027077497666,0.078952894239518442,0.075873171414572685,0.12091503267973856
0.085434173669467789,0.1161895429411353,0.079831932773109238,0.077623013928746418,0.078742913137817602,0.1157796451914099
0.080765639589169005,0.1161895429411353,0.089169000933706818,0.091061804437600619,0.074683278504934558,0.11811391223155929
0.07796451914098973,0.1161895429411353,0.084967320261437912,0.084622383985441307,0.080352768250857423,0.11718020541549953
